seed,K,rank_constraint,cross_cov_rank,rank_formula,coefficient_rank,factorized_rank,relative_factorization_error,rrr_mse,factored_mse,ols_mse,factorized_loss_gap,rrr_ols_gap
2,8,2,8,2,2,2,1.7986003598955806e-16,403.824098859,403.824098859,11.92234880518346,0.0,391.90175005381656
2,8,4,8,4,4,4,7.925239648992092e-16,184.11400918501442,184.11400918501442,11.92234880518346,0.0,172.19166037983098
2,8,8,8,8,8,8,1.0572817224176622e-15,11.922348805130719,11.922348805130715,11.92234880518346,-3.552713678800501e-15,-5.2741810918632837e-11
2,8,16,8,8,8,8,1.0572817224176622e-15,11.922348805130719,11.922348805130715,11.92234880518346,-3.552713678800501e-15,-5.2741810918632837e-11
2,8,24,8,8,8,8,1.0572817224176622e-15,11.922348805130719,11.922348805130715,11.92234880518346,-3.552713678800501e-15,-5.2741810918632837e-11
2,16,2,16,2,2,2,1.895770451758381e-16,232.96425014273763,232.96425014273763,6.381005443102943,0.0,226.5832446996347
2,16,4,16,4,4,4,4.573438107779129e-16,121.77963106439734,121.77963106439734,6.381005443102943,0.0,115.3986256212944
2,16,8,16,8,8,8,8.887270690567342e-16,35.66510936486543,35.66510936486543,6.381005443102943,0.0,29.284103921762487
2,16,16,16,16,16,16,2.114601880399181e-15,6.381005443071728,6.381005443071728,6.381005443102943,0.0,-3.12150305603609e-11
2,16,24,16,16,16,16,2.114601880399181e-15,6.381005443071728,6.381005443071728,6.381005443102943,0.0,-3.12150305603609e-11
2,24,2,24,2,2,2,2.6013849223182013e-16,155.62252920080047,155.62252920080047,4.2702447581193175,0.0,151.35228444268117
2,24,4,24,4,4,4,7.404420924390656e-16,82.3837910953895,82.3837910953895,4.2702447581193175,0.0,78.11354633727018
2,24,8,24,8,8,8,7.732624506198466e-16,25.15727997304674,25.15727997304674,4.2702447581193175,0.0,20.887035214927423
2,24,16,24,16,16,16,2.5625351393851793e-15,5.640794277974565,5.640794277974564,4.2702447581193175,-8.881784197001252e-16,1.3705495198552473
