experiment,method,seed,epochs,batch_size,reg_weight,cov_weight,train_mse,test_mse,train_seconds,embedding_kappa,embedding_effective_rank,embedding_isotropy_error,embedding_min_std,embedding_gaussianity_score,predictive_kappa,predictive_effective_rank,predictive_isotropy_error,predictive_min_std,predictive_gaussianity_score
regularizer_mnist,predictive_gaussian,7,150,128,0.1,5.0,0.019079390913248062,0.04094010591506958,10.400041519998922,0.004668924026191235,11.187162399291992,1.3537373892867763,0.12268886715173721,0.03632130783387844,0.003485896158963442,20.83078384399414,0.9411202223290418,0.07343465834856033,0.017574791042932532
regularizer_mnist,predictive_gaussian,8,150,128,0.1,5.0,0.01906171627342701,0.04136340692639351,10.683026724000229,0.0055483425967395306,11.753931045532227,1.336219100633502,0.12607790529727936,0.040156358990784055,0.0034740616101771593,21.279870986938477,0.9442247863329329,0.07329779118299484,0.015490285317388157
regularizer_mnist,predictive_gaussian,9,150,128,0.1,5.0,0.019244372844696045,0.04055844619870186,10.15281090499775,0.005062716081738472,11.281245231628418,1.3668602282072055,0.1278095841407776,0.035129517538569015,0.003187114605680108,21.17980194091797,0.9338542700497605,0.06939055025577545,0.01791905722714113
regularizer_mnist,both,0,150,128,0.1,5.0,0.021212877705693245,0.04060585796833038,14.13572070000373,0.05113056302070618,30.08346176147461,0.5449253408013638,0.255362331867218,0.009860735241789969,0.0029426910914480686,21.237834930419922,0.9444973228070813,0.06633378565311432,0.017772618839682994
regularizer_mnist,both,1,150,128,0.1,5.0,0.02099396474659443,0.04067009687423706,14.299610008994932,0.042070358991622925,29.019014358520508,0.5483895002240431,0.23707854747772217,0.00923412732952588,0.0031265628058463335,21.05830955505371,0.9452314825174707,0.06872746348381042,0.017196767600365967
regularizer_mnist,both,2,150,128,0.1,5.0,0.021637823432683945,0.040209878236055374,14.258015489001991,0.03879926726222038,30.0662841796875,0.5524659929335397,0.2221216857433319,0.009899295047431457,0.0026730005629360676,21.80769157409668,0.9304282848285205,0.06233303248882294,0.01791742626012024
regularizer_mnist,both,3,150,128,0.1,5.0,0.02146134153008461,0.04058888554573059,14.49358180800482,0.03902601823210716,28.45368003845215,0.5613928700727835,0.229747012257576,0.00940323352348579,0.0026685697957873344,20.68473243713379,0.9595233724025389,0.06371424347162247,0.018294920851700865
regularizer_mnist,both,4,150,128,0.1,5.0,0.021269744262099266,0.040653809905052185,14.520285288002924,0.03588622808456421,29.70305824279785,0.5381842144746298,0.21614597737789154,0.009453813460691032,0.0031121016945689917,20.10621452331543,0.9464729042257958,0.07059017568826675,0.016670886612822285
regularizer_mnist,both,5,150,128,0.1,5.0,0.021262316033244133,0.040488507598638535,14.0779431330011,0.03573283925652504,28.72965431213379,0.5476756873395673,0.2209118753671646,0.008682904520534539,0.0025289596524089575,21.845518112182617,0.947137036263712,0.06124017387628555,0.016269142441672824
regularizer_mnist,both,6,150,128,0.1,5.0,0.021214542910456657,0.04074585437774658,14.136604840001382,0.04311366751790047,27.686864852905273,0.5532112159072669,0.24457484483718872,0.009632348207890697,0.002410200424492359,20.80979347229004,0.9572716517918378,0.061005592346191406,0.016513341424794003
regularizer_mnist,both,7,150,128,0.1,5.0,0.02122965268790722,0.04015430435538292,14.554565070000535,0.040938396006822586,29.356515884399414,0.5553406525561184,0.23194678127765656,0.009201048015844659,0.0034981316421180964,21.808229446411133,0.9354316809811759,0.07233419269323349,0.015644194150365973
regularizer_mnist,both,8,150,128,0.1,5.0,0.021625427529215813,0.04108189791440964,13.859814375995484,0.03943556174635887,27.323760986328125,0.562122246082866,0.23624837398529053,0.009101425362074264,0.002755256136879325,21.141395568847656,0.9540678928742516,0.06494990736246109,0.016241555040950678
regularizer_mnist,both,9,150,128,0.1,5.0,0.02119474485516548,0.04066658020019531,14.496640368000953,0.043339528143405914,29.842031478881836,0.5466929389013093,0.23933230340480804,0.008396946951137144,0.0032083988189697266,21.37421989440918,0.94673147229118,0.0705365538597107,0.014821694201068332
