stress,x,seed,n_train,rho,noise,shuffled,lhs,old_scale,corrected_scale,old_rhs,corrected_rhs,calibrated_c_old,calibrated_c_corrected
shuffle,128.0,2,128,1.0,1.0,1,1.452423024665362,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,3,128,1.0,1.0,1,1.3983646447647817,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,4,128,1.0,1.0,1,1.4212128775471502,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,5,128,1.0,1.0,1,1.6541191522100356,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,6,128,1.0,1.0,1,1.4574355311951133,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,7,128,1.0,1.0,1,1.5072481776216369,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,8,128,1.0,1.0,1,1.505985413365873,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,9,128,1.0,1.0,1,1.4123975726392608,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,10,128,1.0,1.0,1,1.4130804377097894,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,11,128,1.0,1.0,1,1.4593473904745689,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,12,128,1.0,1.0,1,1.4382858237740945,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,13,128,1.0,1.0,1,1.3815609759232277,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,14,128,1.0,1.0,1,1.564040578316482,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,15,128,1.0,1.0,1,1.508541840140335,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,16,128,1.0,1.0,1,1.5752817481804342,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,17,128,1.0,1.0,1,1.4331298334992304,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,18,128,1.0,1.0,1,1.5810679371396799,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,19,128,1.0,1.0,1,1.304656567959394,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,20,128,1.0,1.0,1,1.3632323780460744,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,21,128,1.0,1.0,1,1.348338856232754,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,22,128,1.0,1.0,1,1.408201451376137,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,23,128,1.0,1.0,1,1.4018114933519348,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,24,128,1.0,1.0,1,1.5535422573430964,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,25,128,1.0,1.0,1,1.6608768634402724,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,26,128,1.0,1.0,1,1.4159856085155105,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,27,128,1.0,1.0,1,1.5042639766665267,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,28,128,1.0,1.0,1,1.5768037178227192,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,29,128,1.0,1.0,1,1.4744048630021358,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,192.0,0,192,1.0,1.0,1,1.1895021643003734,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,1,192,1.0,1.0,1,1.2387690051535785,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,2,192,1.0,1.0,1,1.1413703213872848,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,3,192,1.0,1.0,1,1.1151962371655388,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,4,192,1.0,1.0,1,1.2053966070426814,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,5,192,1.0,1.0,1,1.2523928325311469,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,6,192,1.0,1.0,1,1.1277168191287137,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,7,192,1.0,1.0,1,1.2340783780219269,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,8,192,1.0,1.0,1,1.1806387569745789,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,9,192,1.0,1.0,1,1.1133934343195973,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,10,192,1.0,1.0,1,1.1514676279342422,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,11,192,1.0,1.0,1,1.1055240485803102,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,12,192,1.0,1.0,1,1.165420287227257,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,13,192,1.0,1.0,1,1.1709250229087549,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,14,192,1.0,1.0,1,1.1759276802924261,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,15,192,1.0,1.0,1,1.1210088564067475,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,16,192,1.0,1.0,1,1.1646613819222622,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,17,192,1.0,1.0,1,1.1445431649029894,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,18,192,1.0,1.0,1,1.141760412263182,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,19,192,1.0,1.0,1,1.154282932613222,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,20,192,1.0,1.0,1,1.1898658087531044,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,21,192,1.0,1.0,1,1.275344248691502,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,22,192,1.0,1.0,1,1.0632406375196166,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,23,192,1.0,1.0,1,1.1301570796138223,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,24,192,1.0,1.0,1,1.1472864701060812,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,25,192,1.0,1.0,1,1.1517995466978597,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,26,192,1.0,1.0,1,1.1992719979130042,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,27,192,1.0,1.0,1,1.1586145462011699,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,28,192,1.0,1.0,1,1.1613729982487255,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,192.0,29,192,1.0,1.0,1,1.0489580457289,0.0,1.5476895755164954,0.0,1.282583048320513,2.9505273848929625,0.8287082038996669
shuffle,256.0,0,256,1.0,1.0,1,0.969923607574331,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,1,256,1.0,1.0,1,0.9812178436369482,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,2,256,1.0,1.0,1,0.988300444507972,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,3,256,1.0,1.0,1,0.984957603636327,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,4,256,1.0,1.0,1,0.9685022630670105,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,5,256,1.0,1.0,1,1.0769408980446098,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,6,256,1.0,1.0,1,0.9932526599317696,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,7,256,1.0,1.0,1,0.9894584377916787,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,8,256,1.0,1.0,1,1.0305896625270916,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,9,256,1.0,1.0,1,1.0788077716899207,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,10,256,1.0,1.0,1,0.967611635503169,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,11,256,1.0,1.0,1,1.1828823052443354,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,12,256,1.0,1.0,1,0.9454353941382841,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,13,256,1.0,1.0,1,0.9197911244496475,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,14,256,1.0,1.0,1,1.01713192842472,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,15,256,1.0,1.0,1,1.019390124262678,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,16,256,1.0,1.0,1,0.9693238161495976,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,17,256,1.0,1.0,1,1.0671129600084917,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,18,256,1.0,1.0,1,1.0094452779968797,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,19,256,1.0,1.0,1,0.9815988212692462,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,20,256,1.0,1.0,1,1.024122399132232,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,21,256,1.0,1.0,1,0.999605496741604,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,22,256,1.0,1.0,1,0.9938305225520753,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,23,256,1.0,1.0,1,0.9855159560041107,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,24,256,1.0,1.0,1,1.0550788226611558,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,25,256,1.0,1.0,1,1.0025171446429846,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,26,256,1.0,1.0,1,1.031356598448246,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,27,256,1.0,1.0,1,0.9510023933435056,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,28,256,1.0,1.0,1,1.017355572100186,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,256.0,29,256,1.0,1.0,1,0.9471484907578802,0.0,1.279542888040309,0.0,1.0603676885604771,2.9505273848929625,0.8287082038996669
shuffle,384.0,0,384,1.0,1.0,1,0.7686373263229215,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,1,384,1.0,1.0,1,0.8276647113138605,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,2,384,1.0,1.0,1,0.8647336713450922,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,3,384,1.0,1.0,1,0.8555678302374827,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,4,384,1.0,1.0,1,0.727831746664942,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,5,384,1.0,1.0,1,0.8044031504450104,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,6,384,1.0,1.0,1,0.8664980588775331,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,7,384,1.0,1.0,1,0.7714184837729972,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,8,384,1.0,1.0,1,0.8626352260940129,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,9,384,1.0,1.0,1,0.7983067581703718,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,10,384,1.0,1.0,1,0.8062185916740237,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,11,384,1.0,1.0,1,0.8155533198637162,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,12,384,1.0,1.0,1,0.8045554500652291,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,13,384,1.0,1.0,1,0.8101598206072907,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,14,384,1.0,1.0,1,0.7367888488989015,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,15,384,1.0,1.0,1,0.8210091652255147,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,16,384,1.0,1.0,1,0.7295739262991162,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,17,384,1.0,1.0,1,0.7548778493623911,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,18,384,1.0,1.0,1,0.8800665195654305,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,19,384,1.0,1.0,1,0.763715420313584,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,20,384,1.0,1.0,1,0.748678732983045,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
shuffle,384.0,21,384,1.0,1.0,1,0.7947491124112737,0.0,0.9858608931447306,0.0,0.8169910100528911,2.9505273848929625,0.8287082038996669
