experiment,method,seed,n_train,epochs,batch_size,reg_weight,cov_weight,train_mse,train_seconds,test_mse,test_rmse,fg_mse,fg_rmse,relative_mse,ssim,embedding_effective_rank,embedding_isotropy_error,embedding_gaussianity_score,predictive_effective_rank,predictive_isotropy_error,predictive_gaussianity_score,gap
regularizer_mnist_gpu,predictive_gaussian,3,10000,50,256,0.08,1.0,0.01540410052984953,53.953362674001255,0.03349253162741661,0.18300964900085626,0.11567296087741852,0.3401072784834493,0.26442944062358714,0.5847421651711854,5.778435707092285,4.5473294400459245,0.03772619845924983,9.405448913574219,4.033098942912685,0.013644163790279914,0.01808843109756708
regularizer_mnist_gpu,predictive_gaussian,4,10000,50,256,0.08,1.0,0.012324778363108635,53.92174903799605,0.034932080656290054,0.18690125910835928,0.12048052996397018,0.34710305380962897,0.2757949339428091,0.5793263048654375,6.2233710289001465,4.432059720861132,0.026983132408574053,9.789034843444824,4.031404961866934,0.013487248378695754,0.02260730229318142
regularizer_mnist_gpu,predictive_gaussian,5,10000,50,256,0.08,1.0,0.01166582852602005,54.130363648997445,0.03492440655827522,0.18688072816177495,0.12125392258167267,0.3482153393830787,0.27573434558633825,0.5942685869955513,6.205010414123535,4.326481197071997,0.018381678416400555,10.144988059997559,3.997558304218507,0.013086540819424843,0.023258578032255173
regularizer_mnist_gpu,predictive_gaussian,6,10000,50,256,0.08,1.0,0.014189685694873333,53.84962289700343,0.03385206311941147,0.18398930164390392,0.11688488721847534,0.3418843184740642,0.26726800512424553,0.5742632268081428,6.010866641998291,4.459092742812393,0.03203672457522545,9.351752281188965,4.07856278759006,0.013845586270882358,0.019662377424538136
regularizer_mnist_gpu,predictive_gaussian,7,10000,50,256,0.08,1.0,0.013392414897680283,53.69250386099884,0.034073349088430405,0.184589677632392,0.11862839013338089,0.34442472346418584,0.2690150968537231,0.590687408521956,5.526769638061523,4.497242806552133,0.026048550980953263,9.705041885375977,4.060346279096816,0.013469487484058995,0.020680934190750122
regularizer_mnist_gpu,predictive_gaussian,8,10000,50,256,0.08,1.0,0.012563329190015793,54.48746644199855,0.03451127931475639,0.18577211662344914,0.11988009512424469,0.3462370504787792,0.2724726331805605,0.5896361486502912,5.828660011291504,4.441447477680029,0.028775061065692494,10.301698684692383,3.8686899762715785,0.012543284315804185,0.0219479501247406
regularizer_mnist_gpu,predictive_gaussian,9,10000,50,256,0.08,1.0,0.012768333777785301,53.72437582400016,0.03444059193134308,0.18558176616074942,0.11934540420770645,0.34546404184474316,0.27191454382908764,0.5806804927854937,5.943090438842773,4.432915589403149,0.025219585847932314,10.10970401763916,4.004976870769804,0.013197153149999951,0.021672258153557777
regularizer_mnist_gpu,both,0,10000,50,256,0.08,1.0,0.014565606601536274,32.22522131900041,0.034340035170316696,0.18531064505396524,0.11951814591884613,0.345713965466896,0.27112063047655505,0.5887237000066831,21.602096557617188,2.336276747908379,0.004589870146889053,7.5374755859375,4.473705270850366,0.01755336626235458,0.019774428568780422
regularizer_mnist_gpu,both,1,10000,50,256,0.08,1.0,0.011655990965664387,29.770140808999713,0.03531564772129059,0.18792457987525366,0.12317920476198196,0.35096895127914374,0.27882326352888,0.5906893535614269,22.190780639648438,2.3228784801087112,0.004529170563018691,8.624699592590332,4.2168616903751275,0.01620364370651504,0.0236596567556262
regularizer_mnist_gpu,both,2,10000,50,256,0.08,1.0,0.012996943667531013,30.025403088999155,0.034687161445617676,0.18624489642837916,0.12167522311210632,0.3488197573419635,0.27386125360486013,0.598447171295729,21.87099266052246,2.3067416669571243,0.004446444535590062,8.261805534362793,4.3563829073456,0.017154494109465575,0.021690217778086662
regularizer_mnist_gpu,both,3,10000,50,256,0.08,1.0,0.015311641618609428,30.783004660996085,0.03425227850675583,0.18507371100930523,0.11870862543582916,0.3445411810449212,0.27042777614966995,0.5744509299668092,20.763687133789062,2.4198604894335562,0.004767755674506464,7.43455171585083,4.580269525175953,0.018922779929356235,0.0189406368881464
regularizer_mnist_gpu,both,4,10000,50,256,0.08,1.0,0.012255847454071045,31.335095807997277,0.035511743277311325,0.18844559765967292,0.12264610826969147,0.3502086638986698,0.2803714725076509,0.5837952111190099,21.445093154907227,2.39878090413994,0.0046335487750379005,7.54228401184082,4.53525845098248,0.018968183886460054,0.02325589582324028
regularizer_mnist_gpu,both,5,10000,50,256,0.08,1.0,0.01232364121824503,30.117614520000643,0.03495148941874504,0.18695317440135922,0.12151061743497849,0.3485837308810876,0.2759481695433979,0.5962241713171434,21.743410110473633,2.3302911632480656,0.004590091759282361,7.864593029022217,4.408875609642362,0.017392198285942337,0.02262784820050001
regularizer_mnist_gpu,both,6,10000,50,256,0.08,1.0,0.015400395728647709,30.230419401996187,0.03418618440628052,0.1848950632285257,0.11808193475008011,0.3436305206905814,0.269905951576609,0.5763642178912386,21.33426856994629,2.3949724744178646,0.004696308780129742,6.972634792327881,4.577590821355935,0.018866804550044705,0.01878578867763281
regularizer_mnist_gpu,both,7,10000,50,256,0.08,1.0,0.014044370502233505,59.291157448999,0.034398164600133896,0.1854674219374764,0.11997679620981216,0.34637666810830686,0.27157957257090987,0.5936872433947211,20.195634841918945,2.484248512409807,0.005012920039382528,7.2438178062438965,4.597724788014073,0.0187421437033698,0.02035379409790039
regularizer_mnist_gpu,both,8,10000,50,256,0.08,1.0,0.013076036237180233,58.75021845300216,0.034614503383636475,0.18604973362957677,0.12036651372909546,0.3469387751882102,0.2732876053987402,0.5962091152735863,22.299346923828125,2.272931060793066,0.0044504888210565,8.266542434692383,4.325539509207715,0.01655867957413498,0.02153846714645624
