experiment,seed,gauge_type,context_law,n_train,n_test,context_dim,K,d,r_star,sigma_z,sigma_y,relative_prediction_error,prediction_mse,embedding_cov_isotropy_error,expected_embedding_cov_isotropy_error,embedding_cov_expected_error,projection_gaussianity_score
gauge_factorization,7,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.00524419150145e-16,5.6481191927941464e-30,0.05950106721055467,5.715901348202249e-16,0.05940664530236225,8.692341739564982e-05
gauge_factorization,8,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,4.73475645677376e-16,5.0740775774194006e-30,0.0514488261678921,6.081152380084802e-16,0.051500881811963,8.257723342080629e-05
gauge_factorization,9,orthogonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,5.007243339923324e-16,5.667173684973992e-30,0.053388090291667405,5.385820602592398e-16,0.053685720177845245,8.189507365168667e-05
gauge_factorization,0,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.513966337743761e-17,2.044521333774737e-31,0.9942778886928291,0.9966898526525193,0.03693193053926551,0.027950321454409274
gauge_factorization,1,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.505977703143738e-17,2.0514498686837463e-31,1.0079361109173948,0.9966898526525193,0.04641736542009878,0.02745307574384006
gauge_factorization,2,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.520352726175347e-17,2.0345117518354087e-31,1.0037860025012355,0.9966898526525193,0.03601356636935639,0.027460029244766274
gauge_factorization,3,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.441376388580519e-17,2.0089058626795755e-31,0.9922175699282251,0.9966898526525193,0.038654071952832825,0.028301462291962173
gauge_factorization,4,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.437720557644114e-17,2.0221616546568393e-31,0.991873736360027,0.9966898526525193,0.03830852581808418,0.02678696797934109
gauge_factorization,5,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.49123907394027e-17,2.0425469471159767e-31,0.9994275716335664,0.9966898526525193,0.03612551093403135,0.02648774859920946
gauge_factorization,6,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.473960638318845e-17,2.0261809252352832e-31,1.0050818725517126,0.9966898526525193,0.03379459090353501,0.02696233415297351
gauge_factorization,7,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.43911560595554e-17,2.0087039000916007e-31,1.0005853721891602,0.9966898526525193,0.038169162338697084,0.028795150610660566
gauge_factorization,8,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.568081481343836e-17,2.072103971438153e-31,1.0033128070535824,0.9966898526525193,0.0381610864586521,0.026222960485225977
gauge_factorization,9,diagonal,gaussian,8192,8192,64,24,24,24,0.25,0.25,9.495501717488194e-17,2.038003666933515e-31,0.9965943402383108,0.9966898526525193,0.04111155490311982,0.027125758615361484
gauge_factorization,0,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.055664244400494035,0.0,0.05577468649177186,8.902132061374942e-05
gauge_factorization,1,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.059525450249183265,0.0,0.05955555693562015,7.53733209230455e-05
gauge_factorization,2,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05050162595851983,0.0,0.05082333074037617,0.00010019588808913019
gauge_factorization,3,gaussianized,gaussian,8192,8192,64,24,24,24,0.25,0.25,0.0,0.0,0.05646084901331436,0.0,0.056415030933813566,5.303409093709702e-05
