experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec,gauge_type,context_law,relative_prediction_error,prediction_mse,embedding_cov_isotropy_error,expected_embedding_cov_isotropy_error,embedding_cov_expected_error,projection_gaussianity_score,method,epochs,batch_size,reg_weight,cov_weight,train_mse,train_seconds,embedding_kappa,embedding_effective_rank,embedding_isotropy_error,embedding_min_std,embedding_gaussianity_score,predictive_kappa,predictive_effective_rank,predictive_isotropy_error,predictive_min_std,predictive_gaussianity_score
heterogeneity,3,,32768.0,8192.0,64.0,1.0,48.0,24.0,24.0,0.98929,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7602321919489675,0.7602396070822888,0.7602321919489675,0.7584390556283367,36.49150113994988,36.491145213550425,-0.0003559263994503,23.0,23.0,23.0,23.0,0.0,24.0,23.0,24.0,0.9583333333333334,1.0,0.0663438020513187,0.0062623215034146,1.0485322445932066,1.0485322445932066,0.3407184039759365,3.077415931624462,1.0,1.0,1.5661646014851789,30.280790297015383,916.926261011821,1.3892506485691432,30.370485279871733,922.3663761349056,1.5844255184274785,2.452871558945204,1.930017364549785,1.3881784862645856,1.9270395097278363,1.3892506485691432,1.930017364549785,1.3881784862645856,1.9270395097278363,1.3892506485691432,1.930017364549785,0.0021016297511223,0.0020924628374218,3603.870281682611,3590.163865034864,-1.3293038928907746,-1.3258679382249323,1.0,0.0,3.930381792867148,3.892340351866605,0.0093837817425868,113.37061257396222,0.0099999999999993,101.0000000000062,4.7314542822340586e-29,0.0002971939670545,3554.617688153321,3560.2028690311554,1.3310726208342595e-32,8.34766944433851e-08,-9.99736286228057e-08,0.9999902463206966,0.0017931363206308,0.2863373143095697,0.7951719271852317,0.0041795947582273,0.6674193836819702,0.0107421759892498,0.7909923324270043,0.0106857128006969,0.7488126493133769,0.7488175723195772,-4.923006200363567e-06,0.0101158969361187,0.1980596999637782,,,,,,,,,,,,,,,,,,,,,,,,,
heterogeneity,4,,32768.0,8192.0,64.0,1.0,48.0,24.0,24.0,0.98929,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7536082942910275,0.7536143743616152,0.7536082942910275,0.7515962633890027,36.17348996935753,36.173198125969314,-0.0002918433882186,23.0,23.0,23.0,23.0,0.0,24.0,23.0,24.0,0.9583333333333334,1.0,0.0535009219583149,0.0062284485793189,1.0760623570895225,1.0760623570895225,0.3131882914796202,3.435832010212757,1.0,1.0,1.5833745990242534,30.18013126694761,910.8403232901892,1.3892506485691427,30.37048527987174,922.366376134906,1.5844255184274785,2.50707512083525,1.930017364549784,1.4017489487903698,1.9649001154349068,1.3892506485691427,1.930017364549784,1.4017489487903698,1.9649001154349068,1.3892506485691427,1.930017364549784,0.0021572388323094,0.0020924628374218,3575.103646891279,3590.163865034865,-1.326696952403466,-1.3258679382249323,1.0,0.0,3.925060798776548,3.892340351866604,0.0093829352223043,113.21515015144716,0.0099999999999994,101.0000000000055,5.867750189221871e-29,0.0002643463079347,3554.617688153324,3544.765533028953,1.6507401650471887e-32,7.457370747703417e-08,-8.233080171293068e-08,0.9999919321196696,0.0020120309020248,0.3230388557281547,0.783966973403917,0.0011025315296623,0.1770154342002916,0.0105418626542019,0.7828644418742546,0.0105270371113513,0.741672368133746,0.7416608107417476,1.155739199842909e-05,0.0099731347168043,0.1974968999857083,,,,,,,,,,,,,,,,,,,,,,,,,
heterogeneity,5,,32768.0,8192.0,64.0,1.0,48.0,24.0,24.0,0.98929,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7528539603746726,0.7528591847193947,0.7528539603746726,0.751543084052881,36.13724086653095,36.13699009798428,-0.0002507685466639,23.0,23.0,23.0,23.0,0.0,24.0,23.0,24.0,0.9583333333333334,1.0,0.03415521849412,0.0061320947281969,0.839593632101777,0.839593632101777,0.549657016467366,1.5274864268954984,1.0,1.0,1.5829058285686242,30.406172973783622,924.5353549116498,1.389250648569143,30.37048527987174,922.366376134906,1.584425518427478,2.50559086211654,1.930017364549784,1.3953459478382626,1.9469903141486595,1.389250648569143,1.930017364549784,1.3953459478382626,1.9469903141486595,1.389250648569143,1.930017364549784,0.0021059122334318,0.0020924628374218,3576.69485172254,3590.163865034864,-1.3212205957964556,-1.3258679382249323,1.0,0.0,3.8686404286446514,3.892340351866603,0.009290025264202,114.50572017555484,0.0099999999999993,101.0000000000065,5.225651226658734e-29,0.0002713348312017,3554.6176881533406,3546.186164974197,1.47010218400548e-32,7.651454790550767e-08,-7.071499774625434e-08,0.9999930606615046,0.0013108763217916,0.2137730057828145,0.7863446834957292,0.0021490052986703,0.3504520712618273,0.0105564529878369,0.7841956781970588,0.0105276032049336,0.7420231830079006,0.7419918922358342,3.129077206642794e-05,0.0099614494911894,0.1998879999737255,,,,,,,,,,,,,,,,,,,,,,,,,
heterogeneity,6,,32768.0,8192.0,64.0,1.0,48.0,24.0,24.0,0.98929,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7491616595015197,0.7491673443731607,0.7491616595015197,0.7475172227304577,35.96003252991172,35.95975965607293,-0.0002728738387887,23.0,23.0,23.0,23.0,0.0,24.0,23.0,24.0,0.9583333333333334,1.0,0.0749139075749101,0.0056853732917529,0.7633628472495502,0.7633628472495502,0.625887801319593,1.2196480673374863,1.0,1.0,1.5700499214353154,30.661027211656982,940.09858967397,1.3892506485691432,30.37048527987173,922.3663761349054,1.5844255184274785,2.4650567557990093,1.930017364549785,1.388050494482342,1.926684175232674,1.3892506485691432,1.930017364549785,1.388050494482342,1.926684175232674,1.3892506485691432,1.930017364549785,0.0020494490645931,0.0020924628374218,3592.346871626025,3590.163865034865,-1.3279172587689585,-1.3258679382249323,1.0,0.0,3.821244825898383,3.8923403518666073,0.0093385953309284,113.44023909359956,0.0099999999999993,101.00000000000648,6.937063276701816e-29,0.0002792485573287,3554.6176881533192,3553.079393382517,1.9515638207229343e-32,7.85933908059797e-08,-7.679925174115999e-08,0.9999924117466096,0.0016444367710619,0.2892398944933566,0.7817632222993868,0.0017615961865617,0.3098470577327138,0.0104714348307654,0.780001626112825,0.0104478388887467,0.7381704790869686,0.7381489691293455,2.150995762317809e-05,0.0098875258457654,0.2002731999964453,,,,,,,,,,,,,,,,,,,,,,,,,
heterogeneity,7,,32768.0,8192.0,64.0,1.0,48.0,24.0,24.0,0.98929,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7604145997264395,0.760421071185399,0.7604145997264395,0.7586686842755763,36.50021141689915,36.4999007868691,-0.0003106300300501,23.0,23.0,23.0,23.0,0.0,24.0,23.0,24.0,0.9583333333333334,1.0,0.0570488480895123,0.0055318846119688,0.912373181924801,0.912373181924801,0.4768774666443424,1.91322351283428,1.0,1.0,1.60304687271793,30.500485585753555,930.2796209667604,1.3892506485691434,30.370485279871737,922.366376134906,1.5844255184274778,2.5697592761307293,1.9300173645497856,1.3930263100965627,1.940522300621245,1.3892506485691434,1.9300173645497856,1.3930263100965627,1.940522300621245,1.3892506485691434,1.9300173645497856,0.00208595593936,0.0020924628374218,3590.3976687731147,3590.163865034865,-1.3289053996280755,-1.3258679382249323,1.0,0.0,3.859482232924677,3.8923403518666047,0.0093539366277593,113.78375455303758,0.0099999999999993,101.00000000000648,8.367108675725625e-29,0.0002969706563221,3554.6176881533274,3553.590345181344,2.3538702076488158e-32,8.356918706875434e-08,-8.741301047020691e-08,0.9999914896375116,0.0017459154508632,0.3156095206841001,0.7928073269243309,0.0021303598694942,0.3851056229345471,0.0105745574155296,0.7906769670548366,0.0105461424249125,0.7489589745052116,0.7489317665570495,2.720794816213345e-05,0.0099897029313623,0.198719699983485,,,,,,,,,,,,,,,,,,,,,,,,,
heterogeneity,8,,32768.0,8192.0,64.0,1.0,48.0,24.0,24.0,0.98929,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7520801654351641,0.7520859307687137,0.7520801654351641,0.7504803022655353,36.10012467689825,36.09984794088788,-0.0002767360103703,23.0,23.0,23.0,23.0,0.0,24.0,23.0,24.0,0.9583333333333334,1.0,0.043849818447501,0.0057292332994547,0.8749423701157021,0.8749423701157021,0.5143082784534413,1.7012021909246944,1.0,1.0,1.5943974113898856,30.685797306879945,941.6181563589204,1.3892506485691434,30.370485279871737,922.366376134906,1.584425518427478,2.542103105446752,1.9300173645497856,1.3858973111932107,1.9207113571725711,1.3892506485691434,1.9300173645497856,1.3858973111932107,1.9207113571725711,1.3892506485691434,1.9300173645497856,0.002039798557623,0.0020924628374218,3587.090691917715,3590.163865034863,-1.3256787942142163,-1.325867938224933,1.0,0.0,3.809496097429125,3.8923403518666033,0.009376501978969,112.84066384495355,0.0099999999999994,101.00000000000615,4.6285475497645643e-29,0.0002931399697961,3554.617688153345,3551.3321377975576,1.3021224659941235e-32,8.254366486204004e-08,-7.792456453875791e-08,0.999992334209013,0.0015998631696287,0.2792455964013632,0.7842653201318094,0.0017859736674072,0.3117299600240167,0.0104805408824094,0.7824793464644021,0.0104566739976248,0.741325421144345,0.7413258989588153,-4.778144703232456e-07,0.0099067129248643,0.1992487999959848,,,,,,,,,,,,,,,,,,,,,,,,,
heterogeneity,9,,32768.0,8192.0,64.0,1.0,48.0,24.0,24.0,0.98929,0.0,0.1,0.1,1.0,16.0,1.0,24.0,cross_cov,0.7548045447022275,0.7548101663116302,0.7548045447022275,0.7537924132503938,36.23088798295824,36.230618145706906,-0.0002698372513307,23.0,23.0,23.0,23.0,0.0,24.0,23.0,24.0,0.9583333333333334,1.0,0.0773249794229805,0.0064658199658626,0.90154362324308,0.90154362324308,0.4877070253260628,1.8485352402712296,1.0,1.0,1.5872474301082828,30.199586776402548,912.0150414654676,1.389250648569143,30.37048527987174,922.366376134906,1.5844255184274776,2.519354404385355,1.930017364549784,1.3956129310049927,1.9477354531883464,1.389250648569143,1.930017364549784,1.3956129310049927,1.9477354531883464,1.389250648569143,1.930017364549784,0.0021356396162706,0.0020924628374218,3581.7520615929675,3590.1638650348664,-1.323504865425066,-1.325867938224934,1.0,0.0,3.927294944431666,3.8923403518666055,0.0093807528316367,112.74536055028425,0.0099999999999994,101.00000000000615,5.525706683791735e-29,0.0002901800325138,3554.6176881533474,3549.267406764272,1.554515047344623e-32,8.17577261044913e-08,-7.602618242190566e-08,0.9999925522871131,0.0010121314518336,0.1565356686665213,0.7878379449345151,0.0041378914399129,0.6399639120420332,0.0105998979740365,0.7837000534946021,0.0105442250690022,0.7429646506439928,0.7429485991999091,1.6051444083675648e-05,0.0099961540895273,0.206903499958571,,,,,,,,,,,,,,,,,,,,,,,,,
